Date,Open,High,Low,Close,Adj Close,Volume,Day
2014-11-26,177.960007,178.089996,177.649994,178.009995,147.441101,3005600,429.00
2014-11-28,178.119995,178.690002,177.860001,178.100006,147.515717,4037500,431.00
2014-12-01,177.539993,178.020004,177.029999,177.600006,147.101532,6671800,434.00
2014-12-02,177.679993,178.770004,177.669998,178.559998,147.896759,3920500,435.00
2014-12-03,178.589996,179.139999,178.410004,178.960007,148.227936,11006600,436.00
2014-12-04,178.729996,179.300003,178.029999,178.830002,148.120407,4791000,437.00
2014-12-05,179.279999,179.820007,178.990005,179.509995,148.683533,4269400,438.00
2014-12-08,178.960007,179.539993,177.970001,178.539993,147.880157,5568000,441.00
2014-12-09,176.779999,178.029999,176.220001,177.960007,147.39975,7945400,442.00
2014-12-10,177.5,177.5,175.009995,175.289993,145.188278,7622000,443.00
2014-12-11,175.889999,177.660004,175.699997,176.029999,145.801178,6867300,444.00
2014-12-12,174.770004,175.669998,172.929993,173,143.291473,12284400,445.00
2014-12-15,173.75,174.130005,171.210007,171.789993,142.289276,8874300,448.00
2014-12-16,171.270004,174.389999,170.740005,170.850006,141.510727,12257600,449.00
2014-12-17,171.270004,173.979996,171.080002,173.589996,143.780167,12901600,450.00
2014-12-18,175.979996,177.830002,175.369995,177.789993,147.258926,9752400,451.00
2014-12-19,177.789993,178.419998,177.149994,177.649994,147.460602,11452600,452.00
2014-12-22,178.220001,179.360001,178.190002,179.360001,148.88002,7855600,455.00
2014-12-23,179.869995,180.399994,179.679993,180.029999,149.436218,6224800,456.00
2014-12-24,180.190002,180.529999,179.940002,180.029999,149.436218,1647600,457.00
2014-12-26,180.490005,180.710007,180.190002,180.190002,149.569016,1921200,459.00
2014-12-29,179.880005,180.380005,179.809998,180.110001,149.50264,2530900,462.00
2014-12-30,179.630005,179.869995,179.240005,179.460007,148.963074,2953300,463.00
2014-12-31,179.820007,180.119995,177.880005,177.880005,147.65155,4514400,464.00
2015-01-02,178.649994,179.229996,176.979996,177.940002,147.701355,4997200,466.00
2015-01-05,177.059998,177.210007,174.460007,174.839996,145.128174,6700200,469.00
2015-01-06,175.100006,175.539993,172.320007,173.389999,143.924561,10131400,470.00
2015-01-07,174.850006,175.789993,174.240005,175.589996,145.750641,5547000,471.00
2015-01-08,177.259995,178.960007,177.210007,178.759995,148.382034,7166700,472.00
2015-01-09,178.979996,179.059998,176.630005,177.220001,147.103775,6646600,473.00
2015-01-12,177.440002,177.630005,175.460007,176.240005,146.290237,4305300,476.00
2015-01-13,177.720001,179.029999,174.699997,175.979996,146.074448,9913500,477.00
2015-01-14,173.440002,174.720001,172.419998,174.059998,144.480728,11090600,478.00
2015-01-15,174.740005,175.080002,172.809998,173.059998,143.650757,9293700,479.00
2015-01-16,172.570007,174.970001,172.119995,174.669998,145.111115,8721900,480.00
2015-01-20,175.229996,175.610001,173.139999,174.899994,145.302277,7224100,484.00
2015-01-21,174.25,175.75,173.660004,175.350006,145.676117,6259300,485.00
2015-01-22,175.919998,178.139999,174.509995,177.919998,147.811218,9565100,486.00
2015-01-23,177.710007,177.820007,176.389999,176.410004,146.556686,4795300,487.00
2015-01-26,176.160004,176.710007,175.380005,176.5,146.631409,3730400,490.00
2015-01-27,173.5,174.75,172.589996,173.589996,144.213943,11565100,491.00
2015-01-28,174.550003,174.610001,171.589996,171.720001,142.66037,9673200,492.00
2015-01-29,172.160004,174.070007,171.059998,173.899994,144.471466,9615200,493.00
2015-01-30,173.199997,173.949997,171.270004,171.449997,142.436066,11138500,494.00
2015-02-02,171.949997,173.429993,170.100006,173.270004,143.948044,9437900,497.00
2015-02-03,174.130005,176.399994,174.100006,176.330002,146.49028,7543400,498.00
2015-02-04,175.800003,177.570007,175.779999,176.529999,146.656326,5935900,499.00
2015-02-05,177.279999,178.639999,177.089996,178.550003,148.334549,6037800,500.00
2015-02-06,178.820007,179.360001,177.479996,178.089996,147.952408,7211900,501.00
2015-02-09,177.179993,177.940002,176.679993,177.089996,147.121628,3723100,504.00
2015-02-10,178.169998,178.75,177.139999,178.509995,148.30127,3572700,505.00
